order_id,date,product,category,price,quantity,region,channel,discount_pct,is_returned
ORD-1000,2024-01-01,Widget B,Electronics,49.99,2,East,Online,0,no
ORD-1001,2024-01-02,Widget B,Electronics,49.99,44,Central,Online,10,no
ORD-1002,2024-01-03,Widget A,Electronics,29.99,6,South,Online,10,no
ORD-1003,2024-01-04,Gizmo D,Tools,12.99,46,Central,Retail,0,no
ORD-1004,2024-01-05,Book X,Books,14.99,1,South,Wholesale,5,no
ORD-1005,2024-01-06,Gadget C,Tools,89.5,14,East,Online,0,no
ORD-1006,2024-01-07,Book Y,Books,24.99,23,Central,Retail,0,no
ORD-1007,2024-01-08,Widget B,Electronics,49.99,25,North,Wholesale,0,no
ORD-1008,2024-01-09,Book Y,Books,24.99,37,South,Wholesale,0,yes
ORD-1009,2024-01-10,Gizmo D,Tools,12.99,50,East,Online,0,no
ORD-1010,2024-01-11,Pen Set,Office,9.99,18,West,Wholesale,0,no
ORD-1011,2024-01-12,Book Y,Books,24.99,14,East,Wholesale,15,no
ORD-1012,2024-01-13,Gadget C,Tools,89.5,35,South,Online,5,no
ORD-1013,2024-01-14,Gizmo D,Tools,12.99,44,East,Online,0,no
ORD-1014,2024-01-15,Book Y,Books,24.99,26,East,Online,0,no
ORD-1015,2024-01-16,Book Y,Books,24.99,14,West,Retail,15,no
ORD-1016,2024-01-17,Book X,Books,14.99,9,South,Wholesale,10,no
ORD-1017,2024-01-18,Pen Set,Office,9.99,38,West,Retail,0,no
ORD-1018,2024-01-19,Gadget C,Tools,89.5,33,West,Online,0,no
ORD-1019,2024-01-20,Gadget C,Tools,89.5,41,South,Wholesale,5,no
ORD-1020,2024-01-21,Pen Set,Office,9.99,25,Central,Retail,10,no
ORD-1021,2024-01-22,Widget A,Electronics,29.99,44,North,Wholesale,10,no
ORD-1022,2024-01-23,Book Y,Books,24.99,8,East,Retail,0,no
ORD-1023,2024-01-24,Book X,Books,14.99,33,South,Wholesale,0,no
ORD-1024,2024-01-25,Book X,Books,14.99,41,Central,Wholesale,0,no
ORD-1025,2024-01-26,Gadget C,Tools,89.5,35,Central,Online,10,no
ORD-1026,2024-01-27,Widget A,Electronics,29.99,8,East,Retail,0,no
ORD-1027,2024-01-28,Widget B,Electronics,49.99,6,West,Online,10,no
