txn_id,date,account_type,category,flow_type,amount_usd,description,is_reconciled
TXN-00001,2024-08-03,Expense,Software,expense,-31600.54,Software transaction for period,False
TXN-00002,2024-02-10,Revenue,Services,income,8183.77,Services transaction for period,True
TXN-00003,2024-06-11,Expense,Software,expense,-32685.35,Software transaction for period,False
TXN-00004,2024-11-26,Liability,Payable,liability,19833.22,Payable transaction for period,False
TXN-00005,2024-10-27,Expense,Software,expense,-26094.69,Software transaction for period,False
TXN-00006,2024-03-26,Asset,Cash,asset,9275.92,Cash transaction for period,True
TXN-00007,2024-04-30,Expense,Salaries,expense,-33134.93,Salaries transaction for period,True
TXN-00008,2024-03-26,Expense,Rent,expense,-19912.57,Rent transaction for period,True
TXN-00009,2024-08-30,Revenue,Services,income,27466.84,Services transaction for period,True
TXN-00010,2024-09-25,Asset,Cash,asset,38273.32,Cash transaction for period,True
TXN-00011,2024-05-14,Revenue,Services,income,30943.3,Services transaction for period,True
TXN-00012,2024-06-07,Asset,Cash,asset,11544.86,Cash transaction for period,False
TXN-00013,2024-11-16,Asset,Inventory,asset,6407.94,Inventory transaction for period,True
TXN-00014,2024-01-18,Revenue,Sales,income,33211.1,Sales transaction for period,False
TXN-00015,2024-08-27,Asset,Inventory,asset,48751.58,Inventory transaction for period,False
TXN-00016,2024-08-15,Liability,Loans,liability,6842.23,Loans transaction for period,True
TXN-00017,2024-11-01,Liability,Payable,liability,22881.52,Payable transaction for period,False
TXN-00018,2024-11-23,Liability,Loans,liability,32012.46,Loans transaction for period,False
TXN-00019,2024-09-03,Expense,Software,expense,-27029.44,Software transaction for period,True
TXN-00020,2024-06-06,Asset,Inventory,asset,18352.59,Inventory transaction for period,False
TXN-00021,2024-06-04,Expense,Salaries,expense,-626.74,Salaries transaction for period,True
TXN-00022,2024-05-26,Expense,Software,expense,-23512.98,Software transaction for period,True
TXN-00023,2024-09-01,Asset,Inventory,asset,15050.56,Inventory transaction for period,False
TXN-00024,2024-11-01,Expense,Marketing,expense,-11637.65,Marketing transaction for period,True
TXN-00025,2024-07-10,Liability,Loans,liability,9509.69,Loans transaction for period,False
TXN-00026,2024-05-07,Asset,Cash,asset,8247.15,Cash transaction for period,False
TXN-00027,2024-04-22,Asset,Cash,asset,13222.72,Cash transaction for period,False
TXN-00028,2024-09-21,Expense,Rent,expense,-38250.46,Rent transaction for period,False
TXN-00029,2024-11-28,Expense,Marketing,expense,-37172.05,Marketing transaction for period,False
TXN-00030,2024-04-06,Asset,Cash,asset,42688.75,Cash transaction for period,True
TXN-00031,2024-05-28,Expense,Salaries,expense,-5606.78,Salaries transaction for period,False
TXN-00032,2024-08-19,Liability,Payable,liability,13679.49,Payable transaction for period,False
TXN-00033,2024-06-13,Expense,Rent,expense,-1067.83,Rent transaction for period,True
TXN-00034,2024-01-12,Liability,Loans,liability,9378.29,Loans transaction for period,True
