id,uuid,token,value
1,550e8400-e29b-41d4-a716-000000000001,tok_135527,36
2,550e8400-e29b-41d4-a716-000000000002,tok_183985,100
3,550e8400-e29b-41d4-a716-000000000003,tok_615576,61
4,550e8400-e29b-41d4-a716-000000000004,tok_872739,53
5,550e8400-e29b-41d4-a716-000000000005,tok_982023,43
6,550e8400-e29b-41d4-a716-000000000006,tok_852233,55
7,550e8400-e29b-41d4-a716-000000000007,tok_960085,13
8,550e8400-e29b-41d4-a716-000000000008,tok_964446,21
9,550e8400-e29b-41d4-a716-000000000009,tok_832411,34
10,550e8400-e29b-41d4-a716-00000000000a,tok_630930,9
11,550e8400-e29b-41d4-a716-00000000000b,tok_468948,54
12,550e8400-e29b-41d4-a716-00000000000c,tok_731364,94
13,550e8400-e29b-41d4-a716-00000000000d,tok_952941,71
14,550e8400-e29b-41d4-a716-00000000000e,tok_873624,42
15,550e8400-e29b-41d4-a716-00000000000f,tok_575279,89
16,550e8400-e29b-41d4-a716-000000000010,tok_128679,98
17,550e8400-e29b-41d4-a716-000000000011,tok_154629,83
18,550e8400-e29b-41d4-a716-000000000012,tok_772758,24
19,550e8400-e29b-41d4-a716-000000000013,tok_760766,57
20,550e8400-e29b-41d4-a716-000000000014,tok_929443,83
21,550e8400-e29b-41d4-a716-000000000015,tok_242703,1
22,550e8400-e29b-41d4-a716-000000000016,tok_520124,26
23,550e8400-e29b-41d4-a716-000000000017,tok_758816,40
24,550e8400-e29b-41d4-a716-000000000018,tok_428961,74
25,550e8400-e29b-41d4-a716-000000000019,tok_186226,15
26,550e8400-e29b-41d4-a716-00000000001a,tok_265488,32
27,550e8400-e29b-41d4-a716-00000000001b,tok_641448,92
28,550e8400-e29b-41d4-a716-00000000001c,tok_904894,84
29,550e8400-e29b-41d4-a716-00000000001d,tok_900234,17
30,550e8400-e29b-41d4-a716-00000000001e,tok_988102,77
31,550e8400-e29b-41d4-a716-00000000001f,tok_819064,53
32,550e8400-e29b-41d4-a716-000000000020,tok_931145,41
33,550e8400-e29b-41d4-a716-000000000021,tok_573421,62
34,550e8400-e29b-41d4-a716-000000000022,tok_870883,18
35,550e8400-e29b-41d4-a716-000000000023,tok_373342,23
36,550e8400-e29b-41d4-a716-000000000024,tok_820861,76
37,550e8400-e29b-41d4-a716-000000000025,tok_966929,42
38,550e8400-e29b-41d4-a716-000000000026,tok_938366,37
39,550e8400-e29b-41d4-a716-000000000027,tok_308314,11
40,550e8400-e29b-41d4-a716-000000000028,tok_534631,48
41,550e8400-e29b-41d4-a716-000000000029,tok_290724,51
42,550e8400-e29b-41d4-a716-00000000002a,tok_495648,74
43,550e8400-e29b-41d4-a716-00000000002b,tok_335391,3
44,550e8400-e29b-41d4-a716-00000000002c,tok_124085,72
45,550e8400-e29b-41d4-a716-00000000002d,tok_778540,79
46,550e8400-e29b-41d4-a716-00000000002e,tok_757066,30
47,550e8400-e29b-41d4-a716-00000000002f,tok_193298,60
48,550e8400-e29b-41d4-a716-000000000030,tok_307897,34
49,550e8400-e29b-41d4-a716-000000000031,tok_835325,22
50,550e8400-e29b-41d4-a716-000000000032,tok_152201,52
51,550e8400-e29b-41d4-a716-000000000033,tok_748024,55
52,550e8400-e29b-41d4-a716-000000000034,tok_729557,34
53,550e8400-e29b-41d4-a716-000000000035,tok_256501,12
54,550e8400-e29b-41d4-a716-000000000036,tok_485792,22
55,550e8400-e29b-41d4-a716-000000000037,tok_694797,16
56,550e8400-e29b-41d4-a716-000000000038,tok_114800,92
57,550e8400-e29b-41d4-a716-000000000039,tok_651380,56
58,550e8400-e29b-41d4-a716-00000000003a,tok_910926,59
59,550e8400-e29b-41d4-a716-00000000003b,tok_967442,87
60,550e8400-e29b-41d4-a716-00000000003c,tok_618152,16
61,550e8400-e29b-41d4-a716-00000000003d,tok_335388,92
62,550e8400-e29b-41d4-a716-00000000003e,tok_313013,25
63,550e8400-e29b-41d4-a716-00000000003f,tok_952924,35
