id,metric_000,metric_001,metric_002,metric_003,metric_004,metric_005,metric_006,metric_007,metric_008,metric_009,metric_010,metric_011,metric_012,metric_013,metric_014,metric_015,metric_016,metric_017,metric_018,metric_019,metric_020,metric_021,metric_022,metric_023,metric_024,metric_025,metric_026,metric_027,metric_028,metric_029,metric_030,metric_031,metric_032,metric_033,metric_034,metric_035,metric_036,metric_037,metric_038,metric_039,metric_040,metric_041,metric_042,metric_043,metric_044,metric_045,metric_046,metric_047,metric_048,metric_049
1,80.57,97.04,42.38,89.64,13.96,58.72,8.61,20.78,47.46,86.75,98.66,6.61,96.01,75.61,8.84,40.95,91.44,41.45,55.58,71.02,75.52,13.69,18.6,38.18,55.39,4.22,82.62,83.46,30.39,55.93,46.35,2.68,0.24,26.27,95.6,83.42,47.25,65.38,89.27,41.72,49.19,68.78,24.48,11.94,27.72,99.43,6.67,74.56,58.11,56.56
2,86.83,62.8,47.6,69.42,11.96,51.25,57.53,84.53,16.28,5.85,31.97,87.83,13.55,16.33,27.27,41.95,91.21,35.6,28.99,52.96,93.63,51.39,76.64,18.32,9.45,75.26,54.37,87.24,82.68,68.5,30.11,68.54,68.83,9.58,58.0,82.33,1.29,51.82,37.3,48.49,34.03,91.08,10.24,15.46,22.11,18.84,89.71,61.34,83.14,52.57
3,53.21,55.11,75.63,11.4,46.05,7.64,81.88,92.34,47.95,31.16,36.26,81.7,88.97,59.76,76.36,34.2,70.99,2.88,81.46,22.24,85.68,14.24,22.66,12.53,13.02,7.86,69.08,78.4,7.77,77.47,75.73,4.25,10.78,79.31,51.35,5.93,11.89,25.3,6.62,66.76,75.46,78.24,92.01,20.54,90.12,18.48,35.15,9.08,84.59,94.18
4,94.88,34.78,16.06,50.06,72.86,24.18,57.02,9.91,57.81,1.4,21.7,19.15,28.19,90.17,53.71,97.36,9.87,21.4,50.42,70.78,36.65,58.94,43.97,95.77,18.08,35.48,37.96,21.43,22.76,11.28,98.46,12.36,11.03,13.59,76.23,70.47,55.71,4.06,32.81,11.57,28.36,60.04,31.2,97.62,44.4,55.39,29.06,85.54,18.88,6.96
5,84.11,47.57,67.91,17.93,99.87,49.16,10.52,43.81,65.85,8.5,14.34,40.06,59.06,10.17,92.53,97.79,6.47,97.52,33.86,59.5,99.07,12.28,83.81,72.52,27.85,71.35,58.19,27.3,78.95,64.38,40.02,47.58,60.32,40.44,48.45,27.89,76.8,10.8,25.07,49.73,62.84,13.46,9.96,5.29,6.82,67.81,97.21,38.26,67.92,15.27
6,62.2,9.63,7.65,75.16,76.76,79.27,20.19,66.21,49.03,26.17,34.36,85.97,54.66,95.26,3.16,43.04,91.49,38.36,31.46,37.63,45.97,3.29,55.67,86.04,30.3,70.61,49.15,13.45,71.57,48.75,10.94,67.5,66.01,68.54,57.22,47.59,85.44,50.67,39.14,49.47,97.09,61.69,35.28,97.78,32.05,2.81,4.51,83.69,34.89,74.21
7,2.69,89.13,34.13,9.74,34.51,35.74,35.13,66.12,24.76,64.81,59.25,91.04,6.55,30.49,33.76,1.97,32.61,46.09,86.34,56.8,90.14,26.66,69.6,58.8,98.58,37.77,39.03,57.25,80.83,10.01,67.51,33.6,50.28,76.49,33.95,61.48,36.33,43.6,49.7,84.73,78.71,84.04,53.58,28.74,4.75,99.62,40.2,22.59,74.29,9.2
8,84.42,9.47,33.68,6.73,80.12,47.53,20.97,79.57,65.15,30.18,80.41,43.29,53.99,20.01,40.23,62.5,45.32,76.34,18.06,1.86,70.33,86.27,57.68,21.3,96.21,74.22,46.73,93.72,53.27,61.44,76.91,43.37,56.61,62.68,52.23,36.43,14.77,15.05,68.53,30.03,43.54,31.87,83.02,6.44,20.36,41.24,82.37,64.6,25.64,60.12
9,40.59,11.36,19.19,24.56,82.72,46.42,55.98,43.61,64.69,3.7,15.94,13.64,25.84,80.35,65.87,17.6,85.25,96.38,48.58,1.99,85.96,8.39,60.16,86.72,90.06,40.7,36.34,65.74,9.03,94.32,72.42,14.06,11.19,73.45,93.29,52.2,82.9,94.97,93.16,25.18,88.46,23.81,12.23,80.67,32.93,58.43,39.0,74.84,23.59,42.29
10,14.43,17.52,96.99,43.95,25.43,58.95,49.04,37.47,94.87,31.65,42.38,68.27,96.33,87.94,93.7,36.3,71.57,82.14,2.11,96.68,60.58,84.15,66.22,94.08,69.07,78.88,23.97,55.27,30.93,95.85,36.29,81.23,12.21,86.7,85.76,38.85,90.98,39.3,97.8,25.55,9.03,82.27,23.55,21.04,89.02,91.59,63.14,87.95,76.67,40.63
